name;category;description;price;price_old;gender;season;material
Brantley Bow Slingback Pumps ;Shoes;These Brantley slingback pumps in pink feature pointed toes, stiletto heels, dainty bow details and elasticised slingback straps. Pair them with feminine dresses for nights out. This product contains recycled material.;120;120;Women;Spring;Recycled Polyester
Pointed Crystal-Heel Slingback Pumps ;Shoes;These slingback pumps in black are made with satin and feature pointed toes, slingback straps and visually striking sculptural heels. Pair them with sharp blazers and trousers for a polished, boardroom-ready look.;120;120;Women;Summer;Satin
Lace & Satin Slingback Pumps;Shoes;These slingback pumps in dark blue are made with lace and satin. They feature pointed toes, stiletto heels and adjustable slingback straps. Let them add a touch of refined femininity to relaxed tailored looks for work.;100;150;Women;Summer;Lace
Meja Floral-Crochet Slingback Pumps;Shoes;White shoes are a must-have for summer -- these Meja slingback pumps are definitely a worthy addition to your collection. Featuring a lovely floral pattern, these polished pointed-toe shoes stand on low cylindrical block heels. They can be dressed up or down with ease.;80;100;Women;Summer;Crochet
Back-Bow Slingback Pumps ;Shoes;These slingback pumps in burgundy feature covered pointed toes, slender stiletto heels, slim slingback straps and dainty bows at the back. Wear them to complete refined silhouettes for date nights or evening events.;90;120;Women;Summer;Natural PU
Patent Crystal Slingback Pumps ;Shoes;These slingback pumps in lilac feature a glossy patent finish, pointed toes, slender stiletto heels, elasticised slingback straps and crystal embellishments. Use them to introduce soft colour and sparkle to special-occasion looks.;120;120;Women;Summer;Patent PU
Marie Checkered Pearl Slingback Pumps - Multi;Shoes;These Marie slingback pumps feature a checkered finish, slanted straps, pearl embellishments, covered pointed toes, chunky block heels and elasticised slingback straps. Wear them to add an eye-catching element to your weekend looks.;100;100;Women;Summer;Woven Fabric
Marie Checkered Pearl Slingback Pumps - Cream;Shoes;Same Marie slingback pumps model as above (checkered finish, pearl embellishments, covered pointed toes, chunky block heels, elasticised slingback straps) in the Cream colourway.;100;100;Women;Summer;Woven Fabric
Marie Checkered Pearl Slingback Pumps - Black;Shoes;Same Marie slingback pumps model as above (checkered finish, pearl embellishments, covered pointed toes, chunky block heels, elasticised slingback straps) in a black checkered colourway.;100;100;Women;Summer;Woven Fabric
Raffia Sculptural-Heel Slingback Pumps;Shoes;These slingback pumps in beige feature woven raffia uppers, contrast trims, adjustable buckled straps, sculptural heels, covered pointed toes and elasticised slingback straps. Designed for casual ease, they will add playful tactility to your warm-weather looks.;90;120;Women;Spring;Raffia
Patent Crossover Pointed Pumps ;Shoes;These pumps in black feature a glossy patent finish, slim crossover straps, covered pointed toes and slender stiletto heels. A wardrobe classic, they are versatile, understated and polished -- wear them with tailored separates or dresses.;80;80;Women;Spring;Patent PU
Striped Tie-Around Pointed Kitten Heels;Shoes;These heels feature white-and-blue striped uppers, tie-around ankle straps, covered pointed toes and low kitten heels for a subtle lift. Wear them to add visual interest to both workday and weekend ensembles.;100;100;Women;Spring;Satin
Crystal Pointed Slingback Pumps ;Shoes;Embellished with eye-catching crystals, these pointed-toe slingback pumps stand out for all the right reasons. Adjustable buckled slingback straps ensure a secure, customised fit for comfortable all-day wear despite their tall stiletto heels.;100;100;Women;Summer;Natural PU
Clementine Double-Strap Slingback Mary Jane Pumps;Shoes;Eye-catching in red, this pair of Mary Janes pumps definitely makes a style statement. Thanks to their bright and glossy finish, they will add a pop of colour to any look and make it stand out. The distinctive double-strapped design adds flair to the simple silhouette while 4cm block heels offer a flattering and comfortable stature boost. Style them with white socks for a preppy vibe.;120;120;Women;Spring;Natural PU
Curtis Metallic Slingback Kitten Heels;Shoes;Add a bold pop to your outfit with these slingback pumps. Featuring a high-shine mirrored finish and sharp pointed toes, they are sleek and striking in all the right ways. Kitten heels offer a flattering lift to your frame while still being wearable enough for those busy on-the-go days. Wear these with a monochromatic outfit to let them shine, or match it to other metallic pieces for a standout look.;120;150;Women;Summer;Mirror metallic PU
Bow Slingback Mary Jane Pumps;Shoes;Bows can spruce up your outfits in a subtle way. The classic slingback silhouette looks especially pristine in white and will lend your ensembles a timeless charm. Decorated with bows on the sides, they are a dainty pair to wear with skirts and dresses.;90;90;Women;Summer;Natural PU
Yvette Mary Jane Slingback Pumps;Shoes;Featuring an ever-classic pointed-toe design, the elongated silhouette is certain to add instant polish to any look. In all-black, they will do well to complement any outfit of your choice, be it the finishing touch to your graduation gown or a work interview. Set on sturdy block heels, these shoes offer steady strides even as you walk in them for long hours. Plus points for the slingback straps that offer a secure fit.;100;100;Women;Summer;Natural PU
Jagger Knee-High Loafer-Boots;Shoes;These Jagger knee-high boots in black feature softly rounded toes, knee-high shafts and a hybrid loafer design. Wear them with artfully layered fall-winter looks -- they will keep you warm and looking chic.;200;200;Women;Winter;Box PU
Pointed Stiletto Ankle Boots;Shoes;These ankle boots in black feature pointed toes, back zips, stiletto heels and narrow shafts. Wear them with draped or voluminous clothes to create a balanced look consisting of sharp lines and soft layers.;180;180;Women;Autumn;Box PU
Square-Toe Knee-High Boots ;Shoes;These knee-high boots in black feature side zips, square toes and block heels. Pair them with blazers and satin skirts for a sophisticated aesthetic that is suitable for both the office and after-hours gatherings.;200;200;Women;Winter;Natural PU
Patent Metallic-Buckle Pointed Pumps;Shoes;These pumps in burgundy feature a patent finish, covered pointed toes, slender stiletto heels and polished metallic accents on the front. Let them complete your evening ensemble with a touch of edgy glamour.;90;90;Women;Summer;Patent PU
Caged Flat Espadrilles;Shoes;These flat espadrilles in maroon feature a caged design, ruched elasticised heels, shiny round buckles and flat espadrille soles. Let them add rich colour to your favourite warm-weather casual ensembles.;90;90;Women;Summer;Natural PU
Striped Mary Jane Espadrille Mules;Shoes;These espadrille mules in dark blue feature a striped design, espadrille soles, adjustable straps across the insteps, covered round toes and an easy-wearing open backs. They are the perfect slip-on shoes for the weekends and vacations.;100;200;Women;Summer;Woven Fabric
Buckled Espadrille Sandals;Shoes;White sandals are a must-have for summer -- your warm-season shoe collection would not be complete without this pair of espadrille sandals in chic cream. This slip-on pair is the perfect casual shoes for laid-back vacation days by the beach. The simple straps across the vamps are complemented by shiny gold-toned buckles. Standing on thick braided-rope soles, these shoes will look perfect with a white summer dress or classic denim cut-offs.;90;100;Women;Summer;Natural PU
Georgie Linen Metal-Ball Heeled Sandals;Shoes;These Georgie sandals in chalk are made with linen and feature polished metal-ball embellishments, rounded square toes and low block heels that make them comfortable enough for all-day wear. Wear them with structured layers to build a weekday look that stands out.;100;100;Women;Summer;Linen
Georgie Bead Pointed Mules;Shoes;These Georgie mules in black feature knotted straps with colourful bead embellishments, covered pointed toes, chunky block heels and a slip-on design. Pair them with tailored separates and sleek midi dresses for a refined finish.;120;140;Women;Summer;Natural PU
Cut-Out Block-Heel Mules;Shoes;These mules in white feature wide straps with cut-out details, open round toes and low chunky block heels that make them suitable for all-day wear. Wear them to ground a date-night look with clean lines and classic design.;100;140;Women;Summer;Natural PU
Lando Faux Suede Heeled Mules;Shoes;These Lando heeled mules in beige are made with faux suede and feature pointed toes, metallic buckles and trapeze block heels. Style them with tailored trousers or flowy dresses for a chic look that transitions effortlessly from day to evening.;130;130;Women;Summer;Faux Suede
Sonali Bow Strawberry-Heel Mules;Shoes;These Sonali mules in black feature slim strappy uppers adorned with dainty bows, open toes and whimsical strawberry-shaped heels. Wear them to bring a touch of whimsy to your date night looks.;130;130;Women;Summer;Natural PU
Satin Twisted-Strap Pointed Mules;Shoes;These flat mules in light pink are made with satin and feature asymmetrical twisted straps, sleek pointed toes and a minimalist design. Use them to refine workwear outfits with luxurious texture, clean lines and soft colour.;90;90;Women;Summer;Satin
Arden Pointed Wavy Heeled Mules;Shoes;These light-pink Arden mules feature asymmetrical wavy straps, mid heels and sleek pointed toes. They will add a touch of refined femininity when paired with monochrome tailored workwear ensembles.;120;120;Women;Summer;Natural PU
Tapered Square-Toe Heeled Mules;Shoes;These mules in black feature a tapered square-toe design, thin buckled straps across the vamps, and distinctive flared stiletto heels. They will refine your weekday ensembles with their clean lines and sophisticated details.;100;100;Women;Summer;Box PU
Glittered Mesh Heeled Mules;Shoes;These mules in black are made with glittered mesh and feature wide-strap uppers, open square toes, and mid stiletto heels. Let them polish up jersey separates and lightweight dresses for relaxed-chic weekend edits.;80;80;Women;Summer;Mesh
Glittered Mesh Bow Kitten Heels;Shoes;These mules in pink are made with glittered mesh and feature dainty bows, sleek pointed toes, and very low kitten heels. Use them to add eye-catching sparkle and feminine charm to both your workday and weekend ensembles.;80;80;Women;Summer;Mesh
Strappy Heeled Sandals;Shoes;These sandals in black feature strappy crossover uppers, slender stiletto heels, and neat square toes. Wear them with a softly draped evening dress to look effortlessly poised, polished and glamorous.;100;120;Women;Summer;Natural PU
Faux Suede Metallic-Bar Loafer Mules;Shoes;These loafer mules in beige are made with faux suede and feature sleek metallic-bar embellishments, elegant almond toes, and refined stitch-trim detailing. Pair them with tailored trousers for a sophisticated smart-casual look.;120;120;Women;Autumn;Faux Suede
Aelin Kitten-Heel Mules;Shoes;These Aelin mules in espresso brown feature a minimalist single-strap design, distinctive metallic buckles, stylish square toes, and dainty kitten heels. Wear them to bring warmth and polish to your weekend edits.;110;110;Women;Summer;Natural PU
Dylan Penny Loafer Mules ;Shoes;These Dylan loafer mules in black feature ruched detailing, classic penny straps, almond toes and a slip-on design. Wear them to add subtle sophistication to your dressed-down workday and weekend looks.;110;110;Women;Summer;Natural PU
Ivette Faux Suede Woven Heeled Mules ;Shoes;These Ivette heeled mules in burgundy are made with faux suede and feature woven uppers, open square toes and sturdy block heels. Let them ground minimalist dresses to create outfits that are versatile enough to suit a range of occasions.;110;110;Women;Summer;Faux Suede
Georgina Crossover Blade-Heel Mules;Shoes;These Georgina mules in black feature crossover straps, round toes and blade heels. Wear them with midi pencil skirts and tucked blouses to establish a quietly assured look ideal for workplace settings.;110;110;Women;Summer;Box PU
Susie Satin Kitten-Heel Mules;Shoes;These Susie mules in mauve are made with satin and feature a minimalist design, low kitten heels and stylish square toes. Let them complement neutral layers with a touch of understated feminine charm.;90;110;Women;Autumn;Nappa Calf Leather
Arden Wavy Strap Mules;Shoes;Liven up your look with these modern mules. The wavy strap design will earn you a few double takes, whilst the chalk white colour keeps it clean and classy. Set on a 4cm cylindrical heel, these contemporary shoes are sure to elevate your weekday and weekend ensembles. For an effortlessly chic look, style them with a puff sleeve blouse, blue jeans, and a double handle tote bag.;100;120;Women;Autumn;Natural PU
Marley Metallic-Accent Loafers;Shoes;In beautiful burgundy, these Marley loafers will be a great addition to your shoe collection. The sleek loafer silhouette is always a classic, while the metallic accents add a hint of shine that elevates the look. Perfect for matching with both tailored corporate looks and cute babydoll dresse;110;130;Women;Spring;Faux Leather
Metallic Knot-Bar Loafers;Shoes;Let your chunky loafers take a backseat in favour of these sleek and sophisticated almond-toe loafers. Simple in design, the gold-tone metallic knot accents stand out beautifully against the clean black uppers, adding just the right amount of shine to elevate your everyday look.;120;140;Women;Summer;Nappa Calf Leather
Kaiya Penny Loafers;Shoes;Tired of your usual black shoes? Reach for these Kaiya penny loafers in dark brown instead. Just as elegant and versatile, they feature an effortless slip-on style, decorative slotted leather strips across the vamps and platform soles that provide a slight lift while remaining comfortable for everyday wear. The simplicity of these shoes imbues them with refined sophistication, making them versatile enough to complement anything in your wardrobe.;130;150;Women;Autumn;Natural PU
Strappy Ridged-Sole Flatform Sandals;Shoes;These flatform sandals in chalk feature strappy uppers, open round toes and thick ridged soles. Wear them with your favourite casual basics on off-duty days for both style and comfort.;140;160;Women;Autumn;Faux Leather
Strappy Tubular Wedge Sandals;Shoes;A modern take on strappy sandals, this pair is casually sophisticated. Crossover tubular straps lend tactility to the classic open-toed design, while toe rings add a charming touch. In versatile black, these sleek sandals will be a breeze to style with different aesthetics and ensembles. Set on wedge soles that will boost your stature, these distinctive sandals balance wearability with effortless style.;70;90;Women;Spring;Nappa Calf Leather
Bow Slingback Thong Sandals;Shoes;These thong sandals in white feature a minimalist thong silhouette, V-strap uppers, dainty bows, open toes, elasticised slingback straps and very low block heels. Wear them to complement satin dresses and softly layered weekend looks.;80;100;Women;Summer;Natural PU
Kitten-Heel Thong Sandals;Shoes;These heeled thong sandals in chalk feature open square toes, a minimalist design and trapeze kitten heels. They will go with everything in your wardrobe, from colourful spring-summer dresses to dark monochromatic ensembles.;90;110;Women;Summer;Faux Leather
Striped Bow Slide Sandals;Shoes;These slide sandals in grey feature a single strap design with eye-catching striped bows, open round toes and barely there flat soles. Pair them with casual basics to create a playful and lively off-duty look.;100;120;Women;Summer;Nappa Calf Leather
Pointed Peep-Toe Stiletto Sandals;Shoes;These heeled sandals in red feature pointed fronts, peep-toe details, slender ankle straps and sharp stiletto heels. Match them to evening looks in deep tones for a bold yet timelessly elegant aesthetic.;110;130;Women;Spring;Natural PU
Leather Beaded Thong Kitten Heels;Shoes;These heeled sandals in chalk are made with genuine leather and feature beaded straps atop the slender V-straps, low kitten heels, open round toes. Use them to add a playful and eye-catching touch to your summer outfits.;120;140;Women;Summer;Faux Leather
Striped Square-Toe Slide Sandals;Shoes;These slide sandals in yellow feature a striped design, wide single-straps, open square toes, cushioned footbeds, thin flat soles and logo-engraved metal bars. They are perfect for showing off your pedicure during the warmer months.;120;120;Women;Summer;Woven Fabric
Georgie Bead Strappy Sandals;Shoes;These Georgie sandals in black feature a knotted strappy design, colourful bead embellishments, slim adjustable slingback straps, open round toes and flat soles for all-day comfort. Pair them with minimalist, flowy summer dresses to keep your warm-weather look effortless and elegant.;130;150;Women;Summer;Nappa Calf Leather
Arden Wavy Toe-Ring Sandals ;Shoes;These Arden sandals in mint green feature wavy strappy uppers, toe rings, slender back straps, open round toes and low flat soles. Wear them on casual days to add a soft pop of colour to fuss-free off-duty looks.;140;160;Women;Summer;Natural PU
Cut-Out Slide Sandals;Shoes;These slide sandals in maroon feature wide straps with an intricate cut-out pattern, open square toes, soft cushioned footbeds and barely-there soles. Let them elevate your casual outfits with rich colour and striking details.;70;90;Women;Spring;Faux Leather
Studded Buckled Slide Sandals;Shoes;These slide sandals in beige are made with faux nubuck leather and feature a buckled single-strap design embellished with gold studs, open square toes and flat soles. Let them enhance relaxed ensembles with edgy elegance.;80;100;Women;Summer;Nappa Calf Leather
V-Strap Thong Sandals;Shoes;These thong sandals in white feature a simple, minimalist design, slim v-strap uppers, flat cushioned footbeds and open round toes. Let them complete your casual warm-weather outfits with effortless style.;90;110;Women;Autumn;Natural PU
Sonali Bow Heeled Thong Sandals;Shoes;These Sonali heeled thong sandals in burgundy feature kitten heels, open round toes and dainty bow details. Style them with loose blouses and fluid trousers for a refined and feminine weekday look.;100;120;Women;Autumn;Faux Leather
Ruched-Strap Slide Sandals;Shoes;These slide sandals in white feature shimmery ruched straps, open round toes and an asymmetrical double-strap design. Match them with casual separates to add subtle sheen to create relaxed yet polished outfits.;110;130;Women;Spring;Nappa Calf Leather
Woven Tie-Around Net Sandals;Shoes;These woven sandals in black feature netted uppers, tie-around ankle straps, polisehd square toes and comfortable flat soles. Let them bring stylish definition to relaxed jersey pieces and well-worn denim.;120;140;Women;Summer;Natural PU
Hazel Bow Panelled Shoulder Bag;Bags;This Hazel shoulder bag in cream features a softly structured silhouette, triangular panels, a bow at the centre, a fold-over flap secured by a magnetic closure and a non-adjustable single handle. Carry it with minimalist dresses to create versatile outfits that look polished and intentionally assembled.;200;200;Women;Summer;Calf PU
Mini Shania Canvas Tote Bag;Bags;This mini Shania tote bag features a main canvas body with contrasting brown double handles, a softly structured silhouette, metallic accents, a detachable shoulder strap and a removable small pouch. Use it to add a stylish element to relaxed weekend outfits.;150;150;Women;Autumn;Canvas
Gwynne Metallic-Buckle Belted Shoulder Bag - Black;Bags;This Gwynne shoulder bag in black features a softly structured silhouette, a classic rectangular shape with a front-flap closure, a belted metallic-buckle design and two detachable shoulder straps for multiple ways of wear. Carry it with tailored separates for a refined finish.;180;180;Women;Summer;Recycled Leather
Gwynne Metallic-Buckle Belted Shoulder Bag - Chocolate;Bags;This Gwynne shoulder bag in chocolate features a softly structured silhouette, a classic rectangular shape with a front-flap closure, a belted metallic-buckle design and two detachable shoulder straps for multiple ways of wear. Let it elevate your everyday looks with its sleek modern design.;180;180;Women;Summer;Recycled Leather
Enola Tote Bag ;Bags;This Enola tote bag in black features buckled double handles and a magnetic closure. It also comes with a detachable pouch and keychain. Let it balance soft shapes and clean tailoring to create outfits that will move seamlessly through your day.;200;200;Women;Summer;Calf PU
Lilibet Elongated Top Handle Bag;Bags;This Lilibet top handle bag in burgundy features an east-west silhouette, an envelope front flap, a metallic push-lock clasp, a top handle and a detachable shoulder strap. Use it to add a sophisticated pop of colour to your dressy ensembles.;150;180;Women;Summer;Nappa PU
Large Ivanna Canvas Striped Tote Bag;Bags;This Ivanna tote bag features a canvas body with striking vertical yellow stripes, contrasting brown structured top handles, a thick detachable shoulder strap and a detachable small pouch. Its roomy interior will hold everything you need in a day and more, making it an ideal carry-all during the weekends and vacations.;180;250;Women;Summer;Canvas
Rey Slouchy Shoulder Bag;Bags;This Rey shoulder bag in black features a slouchy trapeze silhouette, slim buckled double handles that can be adjusted, a two-way zip closure and a detachable heart charm. Style it with soft tailoring for a look that exudes modern elegance.;120;120;Women;Summer;Wrinkled PU
Ivette Raffia Woven Tote Bag;Bags;This Ivette tote bag is made with raffia and features a softly structured silhouette with an elegant woven finish, contrasting brown trims, a detachable pouch and two sets of non-adjustable handles that allow you to carry the bag at two different drop lengths. Wear it with your favourite summer dresses at your next beach day out or staycation.;120;140;Women;Summer;Polypropylene Fiber
Jody Leather Belted Bucket Bag;Bags;This Jody bucket bag in brown is made with genuine leather and features a softly structured silhouette, a belted detail, gold-tone hardware, a magnetic closure and an adjustable shoulder strap. Versatile, understated and polished, it makes for a great work bag.;100;140;Women;Summer;Nappa Sheep Leather
Delfina Canvas Elongated Shoulder Bag;Bags;This Delfina shoulder bag is made with canvas and features a softly structured construction, a thick single handle, contrasting corners, a top-zip closure and the line's signature dolphin-inspired hardware. Use it to complete your relaxed, warm-weather edits.;130;130;Women;Winter;Canvas
Enola Top Handle Vanity Bag - Cream;Bags;This Enola vanity bag in cream features a double-zip closure, an elegant top handle and a detachable strap. Carry it on casual days to bring an element of polish to easy off-duty looks.;130;130;Women;Summer;Calf PU
Enola Top Handle Vanity Bag - Black;Bags;This Enola vanity bag in black features a double-zip closure, an elegant top handle and a detachable strap. Match it with wide-leg trousers and tank tops to create an always-stylish weekend uniform.;90;90;Women;Summer;Calf PU
Mini Agatha Chain-Strap Shoulder Bag;Bags;This Mini Agatha shoulder bag in burgundy features an asymmetrical design, a distinctive chain accent, a zip closure, and a detachable strap that can be adjusted. Carry it to add a touch of rich colour to neutral-toned outfits.;120;120;Women;Spring;Calf PU
Ally Ruched Chain-Handle Bag;Bags;Well-loved for its versatility and effortless style, the Ally range is refreshed with new colours this season. The elegant cream finish and on-trend slouchy structure makes for a sophisticated piece you can dress up or down. With ruched detailing and a delicately curved handle to create a fluid silhouette, the Ally bag is a delight to behold and accessorise with. Complete with a magnetic closure to secure your essentials, tote this bag around by its top handle or attach the figaro silver-toned chain-link strap to add a luxurious touch to your outfits.;100;100;Women;Spring;Nappa PU
Chance Turn-Lock Bucket Bag;Bags;This Chance bucket bag in black features a softly structured silhouette and a metallic turn-lock closure. Equal parts polished and relaxed, it is the perfect all-occasion bag. This product contains recycled material.;110;120;Women;Spring;Recycled Leather
Cesia Metallic-Accent Shoulder Bag - Burgundy;Bags;This Cesia shoulder bag in burgundy features a distinctive metallic accent, curved corners and a single adjustable handle. Exuding modern elegance, it will refine and elevate both workplace and evening edits.;120;120;Women;Spring;Calf PU
Cesia Metallic-Accent Shoulder Bag - Cream;Bags;This Cesia shoulder bag in cream features a distinctive metallic accent, curved corners and a single adjustable handle. Exuding modern elegance, it will refine and elevate both workplace and evening edits.;120;120;Women;Spring;Calf PU
Cesia Metallic-Accent Shoulder Bag - Chocolate;Bags;This Cesia shoulder bag in chocolate features a distinctive metallic accent, curved corners and a single adjustable handle. Exuding modern elegance, it will refine and elevate both workplace and evening edits.;120;120;Women;Autumn;Calf PU
Nelly Elongated Shoulder Bag ;Bags;This Nelly shoulder bag in light pink features a wide, narrow silhouette, elongated double handles and a double-zip closure. Carry it to soften tailored separates with a dose of modern femininity.;100;120;Women;Summer;Nappa PU
Ivette Woven Shoulder Bag;Bags;Every girl needs a cute bag that will go with everything in her wardrobe -- and this Ivette bag in soft cream is it. The softly structured construction combined with a woven texture is guaranteed to make any outfit look good. The adjustable top handle and detachable shoulder strap also lets you style this bag in different ways.;200;200;Women;Summer;Nappa PU
Calla Tote Bag - Brown;Bags;This Calla tote bag in espresso brown features a striking geometric silhouette and elegant elongated straps. Carry it with with understated jumpsuits to form an ensemble that's subtly structured, working beautifully from desk hours to relaxed night outings.;110;110;Women;Autumn;Calf PU
Calla Tote Bag - Cream;Bags;This Calla tote bag in cream features a striking geometric silhouette and elegant elongated straps. Carry it with with understated jumpsuits to form an ensemble that's subtly structured, working beautifully from desk hours to relaxed night outings.;110;110;Women;Autumn;Calf PU
Noane Elongated-Handle Shoulder Bag;Bags;Keep your belongings close with this shoulder bag, featuring elongated handles for ease of wear and a spacious interior that can accommodate all your daily essentials. Its distressed coffee finish is a refreshing yet equally versatile alternative to classic black.;80;100;Women;Autumn;Calf PU
Bryna Curved Hobo Bag;Bags;From work to the weekend, this Bryna hobo is the perfect everyday bag. The roomy interior offers ample room for your daily essentials. Plus, it can be carried in multiple ways: under the arm or across the body. Along with its minimalist design and match-all finish, it will match well with most outfits.;80;100;Women;Spring;Calf PU
Hazel Bow Shoulder Bag;Bags;The Hazel bag is the perfect accessory for summer. Featuring a minimalist, elongated silhouette in sea salt blue, it will pair perfectly with neutrals and summery hues alike. The spacious interior also provides ample room for the essentials.;90;110;Women;Summer;Calf PU
Sigrid Shoulder Bag;Bags;Integrate a luscious wine-red hue into your wardrobe with this Sigrid bag. Featuring clean contours and a mulberry-plum finish, it exudes a refined, understated aesthetic that will elevate your outfits. Complete with a detachable, adjustable strap, you can carry it on the shoulder or sling it over the body as a crossbody bag.;120;120;Women;Summer;Calf PU
Kerry Top Handle Satchel Bag;Bags;In beautiful burgundy, this Kerry satchel is a bag you are bound to receive compliments about, from colleagues and friends alike. Featuring a softly structured faux leather construction, it will always look chic and polished, no matter how you carry it. The spacious interior will hold everything you need in a day.;110;130;Women;Summer;Calf PU
Cesia Canvas Metallic-Accent Shoulder Bag;Bags;A canvas bag always adds an effortless summery aesthetic to any look. This iteration of our Cesia bag is not only made for days spent in the sun but is also great for any season, thanks to its versatile chocolate-brown finish. Fitted with a zip closure for extra security, this piece offers ample space for all your daily essentials and then some.;120;140;Women;Summer;Canvas
Gabine Bucket Bag;Bags;Our Gabine bucket bag deserves a spot in every girl's wardrobe. With a classic black finish and accented with the iconic gold buckle, this latest iteration is set to become your new go-to favourite. The magnetic closure keeps your essentials within easy reach, while the detachable strap offers you multiple ways of wear. A true stunner, let it be the focal point of your look when paired with a wrap dress and mules.;200;220;Women;Summer;Calf PU
Pecola Oval Sunglasses - Wineberry Red;Accessories;These Pecola sunglasses in wineberry red feature sleek oval frames, tinted lenses, tiny heart accents on the front and cleverly concealed heart accents that are only visible when the temples are folded in. Slip them into your everyday bag -- wear them often to elevate your outfits and protect your eyes.;80;80;Women;Summer;Recycled Acetate
Pecola Oval Sunglasses - Tortoiseshell;Accessories;These Pecola sunglasses feature tortoiseshell oval frames, tinted lenses, tiny heart accents on the front and cleverly concealed heart accents that are only visible when the temples are folded in. Wear them with smart separates for effortlessly stylish looks that will work for both workdays and weekends.;80;80;Women;Summer;Recycled Acetate
Pecola Oval Sunglasses - Pecan Brown;Accessories;These Pecola sunglasses in pecan brown feature oval frames, tinted lenses, tiny heart accents on the front and cleverly concealed heart accents that are only visible when the temples are folded in. Let them bring stylish definition to relaxed jersey pieces and well-loved denim.;80;80;Women;Summer;Recycled Acetate
Noane Passport Holder;Accessories;This Noane passport holder in wineberry red features a distressed finish, a snap-button flap closure and several compartments to keep your travel essentials neatly organised. Bring it along on your next vacation to make sure that important documents are accessible and secure.;100;120;Women;Summer;Wrinkled PU
Aubrey Oval Sunglasses;Accessories;These Aubrey sunglasses in black feature oval acetate frames, tinted lenses and the Atelier logo on the temples for a subtle hint of shine. Let them put a stylish finishing touch on an all-black ensemble.;80;80;Women;Summer;Recycled Acetate
Seashell Swirl-Print Tote Charm;Accessories;This seashell charm in blue features a fan-shaped seashell in a pearlescent finish and a swirl-print tote bag that comes with the charm. Style it with your favourite denim pieces and let it add movement and colour to your look.;100;100;Women;Summer;Printed Fabric
Crochet-Flower Beaded Charm;Accessories;This charm in soft pink features a pink crochet flower and a string of rose, bow and round beads, hanging on a silver-tone ring clasp. Hang it on your favourite jeans or bag and let it add a cute touch to your everyday outfit.;20;25;Women;Summer;Crochet
Girls' Gabine Polka-Dot Sunglasses - Cream;Accessories;These Gabine sunglasses for girls in cream feature a stylish square silhouette with playful polka-dotted frames, tinted lenses and the line's iconic horseshoe accents on the sides. She will love playing dress-up with this pair during the warmer months.;80;80;Women;Summer;Recycled Acetate
